폴더	파일	무엇인가	낱말수	첫낱말	썼나
18기	18기_베트남 단어시험 29회차_공란.pdf	낱말이 적음	0		안 씀
18기	18기_베트남 단어시험 31회차_2025-02-18_(공란).pdf	낱말이 적음	0		안 씀
18기	18기_베트남 단어시험 31회차_2025-02-18_(정답).pdf	시험지·한글뜻	30	đầu tuần	일일 31
18기	18기_베트남 단어시험 37회차 공란.pdf	낱말이 적음	3		안 씀
18기	18기_베트남 단어시험 37회차 정답(수정).pdf	시험지·한글뜻	30	dọn nhà	일일 37
18기	18기_베트남 단어시험 37회차(수정).xlsx	시험지·한글뜻	20	dọn nhà	일일 37
18기	18기_베트남 단어시험 39회차.pdf	시험지·한글뜻	30	làng	일일 39
18기	18기_베트남 단어시험 39회차_공란.pdf	낱말이 적음	0		안 씀
18기	18기_베트남 단어시험 41회차_2025-03-06(공란).pdf	낱말이 적음	1		안 씀
18기	18기_베트남 단어시험 41회차_2025-03-06(정답).pdf	시험지·낱말만	31	Diểm tốt	일일 41
18기	18기_베트남 단어시험 41회차_2025-03-06.xlsx	시험지·한글뜻	20	Diểm tốt	일일 41
18기	18기_베트남 단어시험 47회차 공란.pdf	베트남어 아님	5		일일 0
18기	18기_베트남 단어시험 47회차 정답.pdf	시험지·한글뜻	32	ậ ủ ạ🎂	일일 47
18기	18기_베트남 단어시험 47회차_.xlsx	시험지·한글뜻	20	đón chào	일일 47
18기	18기_베트남 단어시험 49회차.pdf	시험지·한글뜻	30	gắn bó	일일 49
18기	18기_베트남 단어시험 49회차_공란.pdf	낱말이 적음	1		안 씀
18기	18기_베트남 단어시험 51회차_2025-03-25(공란).pdf	낱말이 적음	0		안 씀
18기	18기_베트남 단어시험 51회차_2025-03-25(정답).pdf	시험지·한글뜻	31	châu Âu	일일 51
18기	18기_베트남 단어시험 51회차_2025-03-25.xlsx	시험지·한글뜻	20	châu Âu	일일 51
18기	18기_베트남 단어시험 57회차 공란.pdf	낱말이 적음	0		안 씀
18기	18기_베트남 단어시험 57회차 정답.pdf	시험지·한글뜻	31	cháo	일일 57
18기	18기_베트남 단어시험 57회차.xlsx	시험지·한글뜻	20	cháo	일일 57
18기	18기_베트남 단어시험 59회차.pdf	시험지·한글뜻	30	áo phông	일일 59
18기	18기_베트남 단어시험 59회차_공란.pdf	낱말이 적음	0		안 씀
18기	18기_베트남 단어시험 5회차.pdf	시험지·낱말만	30	mùi	일일 5
18기	18기_베트남 단어시험 60회차_2025-04-14(공란).pdf	낱말이 적음	0		안 씀
18기	18기_베트남 단어시험 60회차_2025-04-14(정답).pdf	시험지·한글뜻	29	xuất hiện	일일 60
18기	18기_베트남 단어시험 60회차_2025-04-14.xlsx	시험지·한글뜻	20	xuất hiện	일일 60
18기	18기_베트남 단어시험 62회차_ - 공란.pdf	낱말이 적음	1		안 씀
18기	18기_베트남 단어시험 62회차_.pdf	시험지·한글뜻	31	chùa chiền	일일 62
18기	18기_베트남 단어시험 62회차_.xlsx	시험지·한글뜻	40	chùa chiền	일일 62
18기	18기_베트남 단어시험 66회차 공란.pdf	낱말이 적음	2		안 씀
18기	18기_베트남 단어시험 66회차 답안.pdf	시험지·한글뜻	31	cắm trại	일일 66
18기	18기_베트남 단어시험 66회차.xlsx	시험지·한글뜻	20	cắm trại	일일 66
18기	18기_베트남 단어시험 68회차.pdf	시험지·한글뜻	32	tình nguyện	일일 68
18기	18기_베트남 단어시험 68회차.xlsx	시험지·한글뜻	20	tình nguyện	일일 68
18기	18기_베트남 단어시험 68회차_공란.pdf	낱말이 적음	0		안 씀
18기	18기_베트남 단어시험 6회차 공란.pdf	낱말이 적음	0		안 씀
18기	18기_베트남 단어시험 6회차.pdf	시험지·한글뜻	30	cảnh sát	일일 6
18기	18기_베트남 단어시험 73회차 공란.pdf	낱말이 적음	0		안 씀
18기	18기_베트남 단어시험 73회차 답안.pdf	시험지·한글뜻	30	bất cứ đâu	일일 73
18기	18기_베트남 단어시험 73회차.xlsx	시험지·한글뜻	20	bất cứ đâu	일일 73
18기	18기_베트남 단어시험 74회차.pdf	시험지·한글뜻	31	trường hợp	일일 74
18기	18기_베트남 단어시험 74회차.xlsx	시험지·한글뜻	20	trường hợp	일일 74
18기	18기_베트남 단어시험 74회차_공란.pdf	낱말이 적음	1		안 씀
18기	18기_베트남 단어시험 79회차 공란.pdf	낱말이 적음	2		안 씀
18기	18기_베트남 단어시험 79회차 답안.pdf	시험지·한글뜻	32	rằng	일일 79
18기	18기_베트남 단어시험 79회차.xlsx	시험지·한글뜻	30	cho rằng	일일 79
18기	18기_베트남 단어시험 7회차 공란.pdf	낱말이 적음	4		안 씀
18기	18기_베트남 단어시험 7회차.pdf	시험지·한글뜻	31	Đây	일일 7
18기	18기_베트남 단어시험 81회차.pdf	시험지·한글뜻	30	bảo vệ	일일 81
18기	18기_베트남 단어시험 81회차.xlsx	시험지·한글뜻	30	ban bảo vệ	일일 81
18기	18기_베트남 단어시험 81회차_공란.pdf	낱말이 적음	0		안 씀
18기	18기_베트남 단어시험 85회차 공란.pdf	낱말이 적음	0		안 씀
18기	18기_베트남 단어시험 85회차 답안.pdf	시험지·한글뜻	21	ứng viên	일일 85
18기	18기_베트남 단어시험 85회차.xlsx	시험지·한글뜻	20	ứng viên	일일 85
18기	18기_베트남 단어시험 87회차.pdf	시험지·한글뜻	30	kiện máy	일일 87
18기	18기_베트남 단어시험 87회차.xlsx	시험지·한글뜻	20	linh kiện máy	일일 87
18기	18기_베트남 단어시험 87회차_공란.pdf	낱말이 적음	0		안 씀
18기	18기_베트남 단어시험 89회차.xlsx	시험지·한글뜻	30	biểu hiện	일일 89
18기	18기_베트남 단어시험 8회차 공란.pdf	시험지·영어뜻	32	tó	일일 0
18기	18기_베트남 단어시험 8회차.pdf	시험지·영어뜻	40	tó	일일 8
18기	18기_베트남 단어시험 90회차 공란.pdf	낱말이 적음	0		안 씀
18기	18기_베트남 단어시험 90회차 답안.pdf	시험지·한글뜻	30	bằng cách	일일 90
18기	18기_베트남 단어시험 90회차.xlsx	시험지·한글뜻	20	bằng cách ~	일일 90
18기	18기_베트남 단어시험 92회차.pdf	시험지·한글뜻	30	ý kiến tính tương 	일일 92
18기	18기_베트남 단어시험 92회차.xlsx	시험지·한글뜻	19	ý kiến mang tính t	일일 92
18기	18기_베트남 단어시험 92회차_공란.pdf	낱말이 적음	0		안 씀
18기	18기_베트남 단어시험 94회차.xlsx	시험지·한글뜻	30	người có tâm hồn ă	일일 94
18기	18기_베트남 단어시험 95회차.xlsx	시험지·한글뜻	89	10 ngàn cây (số)	일일 95
18기	18기_베트남 단어시험 97회차.pdf	시험지·한글뜻	31	xà phòng	일일 97
18기	18기_베트남 단어시험 97회차.xlsx	시험지·한글뜻	20	xà phòng	일일 97
18기	18기_베트남 단어시험 97회차_공란.pdf	낱말이 적음	1		안 씀
18기	18기_베트남 단어시험 99회차(답안).pdf	시험지·한글뜻	31	rủ	일일 99
18기	18기_베트남 단어시험 99회차(문제).pdf	낱말이 적음	1		안 씀
18기	18기_베트남 단어시험 99회차.xlsx	시험지·한글뜻	88	10 ngàn cây (số)	일일 99
18기	18기_베트남 단어시험 9회차 공란.pdf	베트남어 아님	22		안 씀
18기	18기_베트남 단어시험 9회차.pdf	시험지·영어뜻	40	who	일일 9
18기	18기_베트남 단어시험 9８회차.xlsx	시험지·한글뜻	30	chi phí cố định	일일 98
18기	18기＿베트남 단어시험 0619（답안）.pdf	모음집(회차 없음)·한글뜻	32	ghé thăm	일일 0
18기	18기＿베트남 단어시험 0619（문제）.pdf	낱말이 적음	4		안 씀
18기	202412시험지.xlsx	모음집(회차 없음)·한글뜻	20	cháo mổ áo phông	일일 2412
18기	20기 76회차 베트남어 단어시험.xlsx	시험지·한글뜻	30	làm hộ	일일 76
18기	240208(토)_아침 복습 단어_시험용_정답(랜덤O)_250208_082540.pdf	모음집(회차 없음)·한글뜻	20	Cô cuối cùng quả n	주간 208
18기	240208(토)_아침 복습 단어_학습용_문제(랜덤X).pdf	모음집(회차 없음)·영어뜻	20	màu đen quả nhiên 	일일 0
18기	240208(토)_아침 복습 단어_학습용_정답(랜덤X) (1).pdf	모음집(회차 없음)·한글뜻	20	màu đen quả nhiên 	주간 208
18기	240208(토)_아침 복습 단어_학습용_정답(랜덤X).pdf	모음집(회차 없음)·한글뜻	20	màu đen quả nhiên 	주간 208
18기	240208(토)_아침 복습 단어_학습용_정답(랜덤X).xlsx	모음집(회차 없음)·한글뜻	40	màu đen quả nhiên 	주간 208
18기	240208（토）＿아침 복습 단어＿시험용＿문제（랜덤O）＿250208＿082559.pdf	모음집(회차 없음)·영어뜻	20	Cô cuối cùng quả n	일일 0
18기	240208（토）＿아침 복습 단어＿시험용＿정답（랜덤O）＿250208＿082540.pdf	모음집(회차 없음)·한글뜻	20	Cô cuối cùng quả n	주간 208
18기	240412 시험.pdf	모음집(회차 없음)·한글뜻	27	cháo	일일 412
18기	240418(토)_아침 복습 단어(그대로).pdf	모음집(회차 없음)·한글뜻	21	xuất hiện không kh	주간 418
18기	250607(토)_아침 복습 단어_시험_공부용.pdf	모음집(회차 없음)·한글뜻	20	thánh kiện máy dám	주간 607
18기	250705(토)_아침 복습 단어_시험(답안).pdf	모음집(회차 없음)·한글뜻	22	bán dẫn điều trị l	주간 705
18기	2월 셋째주 단어시험.xlsx.pdf	베트남어 아님	20		안 씀
18기	45회 단어시험_03.13.xlsx	시험지·한글뜻	30	thiếu nhi	일일 45
18기	46회 단어시험.pdf	시험지·낱말만	30	nhóm	일일 46
18기	46회 단어시험.xlsx	시험지·한글뜻	30	nhóm	일일 46
18기	46회 단어시험_시험지.pdf	낱말이 적음	0		안 씀
18기	52회차_18기단어시험_베트남_250326.pdf	시험지·한글뜻	30	châu Âu	일일 52
18기	52회차_18기단어시험_베트남_250326.xlsx	시험지·한글뜻	30	châu Âu	일일 52
18기	53회차_18기단어시험_베트남_250327.pdf	시험지·한글뜻	31	người mẫu	일일 53
18기	53회차_18기단어시험_베트남_250327.xlsx	시험지·한글뜻	30	người mẫu	일일 53
18기	54회차 18기 단어시험 3월 30일 답안.pdf	시험지·낱말만	30	người già	일일 54
18기	54회차 18기 단어시험 문제.pdf	낱말이 적음	0		안 씀
18기	55회 단어시험_04.01.xlsx	시험지·한글뜻	33	Họng	일일 55
18기	56회 답안.pdf	시험지·한글뜻	30	hệ thống tế	일일 56
18기	56회 시험지.pdf	낱말이 적음	0		안 씀
18기	56회 시험지.xlsx	시험지·한글뜻	30	hệ thống y tế	일일 56
18기	61회차_18기단어시험_베트남.pdf	시험지·한글뜻	30	không khí	일일 61
18기	61회차_18기단어시험_베트남.xlsx	시험지·한글뜻	30	không khí	일일 61
18기	63회차 18기 단어시험 공란 va 정답.pdf	시험지·한글뜻	30	trận	일일 0
18기	63회차 18기 단어시험 엑셀.xlsx	시험지·한글뜻	30	trận	일일 63
18기	64회 단어시험_04.22.xlsx	시험지·한글뜻	40	Đánh bạc	일일 64
18기	65회차 답지.pdf	시험지·한글뜻	30	đầu lại	일일 65
18기	65회차 시험.pdf	낱말이 적음	0		안 씀
18기	65회차.xlsx	시험지·한글뜻	30	quay đầu lại	일일 65
18기	69회차_18기단어시험_베트남.xlsx	시험지·한글뜻	30	bí quyết	일일 69
18기	69회차_18기단어시험_베트남_공란,답안.pdf	시험지·한글뜻	30	bí quyết	일일 0
18기	70회차 18기 단어시험 공란.pdf	낱말이 적음	0		안 씀
18기	70회차 18기 단어시험 정답.pdf	시험지·한글뜻	30	lộn xộn	일일 70
18기	71회 단어시험_05.06.xlsx	시험지·한글뜻	30	Bí quyết	일일 71
18기	72회차 문제.pdf	낱말이 적음	0		안 씀
18기	72회차.xlsx	시험지·한글뜻	30	vai trò	일일 72
18기	84회 답안.pdf	시험지·한글뜻	19	lương thực	일일 84
18기	84회 시험.pdf	낱말이 적음	0		안 씀
18기	84회차.xlsx	시험지·한글뜻	20	lương thực	일일 84
18기	TalkFile_단어시험(공란)_18기_베트남_241218.pdf.pdf	낱말이 적음	0		안 씀
18기	단어 총합 정답지.xlsx	베트남어 아님	20		안 씀
18기	단어시험 77회차_2025.05.15.xlsx	시험지·한글뜻	30	hân hạnh	일일 77
18기	단어시험 78회차 답안.pdf	시험지·한글뜻	30	công thương mại	일일 78
18기	단어시험 78회차 문제.pdf	낱말이 적음	0		안 씀
18기	단어시험 78회차.xlsx	시험지·한글뜻	30	công ty thương mại	일일 78
18기	단어시험 82회차_2025.05.26.xlsx	시험지·한글뜻	30	hoà hợp	일일 82
18기	단어시험 83회차_2025.05.27 답안.pdf	시험지·한글뜻	30	rạp chiếu	일일 83
18기	단어시험 83회차_2025.05.27 문제.pdf	낱말이 적음	0		안 씀
18기	단어시험(공란)_18기_베트남_240108시험.pdf	베트남어 아님	18		안 씀
18기	단어시험(공란)_18기_베트남_250203시험.pdf	베트남어 아님	10		일일 0
18기	단어시험(공란)_18기_베트남_250219시험.pdf	낱말이 적음	0		안 씀
18기	단어시험_18기_베트남_240108시험.pdf	모음집(회차 없음)·영어뜻	31	ăn	일일 108
18기	단어시험_18기_베트남_241218.pdf	모음집(회차 없음)·낱말만	30	một	일일 1218
18기	단어시험_18기_베트남_250203시험.pdf	모음집(회차 없음)·낱말만	40	màu đen	일일 203
18기	단어시험_18기_베트남_250203시험.xlsx	모음집(회차 없음)·한글뜻	30	màu đen	일일 203
18기	단어시험_18기_베트남_250219시험.pdf	모음집(회차 없음)·한글뜻	30	dạo này	일일 219
18기	단어시험_18기_베트남_250219시험.xlsx	모음집(회차 없음)·한글뜻	30	dạo này	일일 219
18기	단어시험_18기_베트남_250310.pdf	모음집(회차 없음)·한글뜻	30	ngõ	일일 310
18기	단어시험_18기_베트남_250310.xlsx	모음집(회차 없음)·한글뜻	30	ngõ	일일 310
18기	답안_64회 단어시험_04.22.pdf	시험지·한글뜻	31	Đánh bạc	일일 64
18기	문제_64회 단어시험_04.22_.pdf	낱말이 적음	1		안 씀
18기	문제_베트남_55회 단어시험_04.01.pdf	낱말이 적음	0		안 씀
18기	베트남 단어시험 -14차-공란.pdf	베트남어 아님	7		일일 0
18기	베트남 단어시험 -14차-정답.pdf	시험지·영어뜻	30	đông	일일 14
18기	베트남 단어시험 13회차.pdf	시험지·영어뜻	48	Trên	일일 13
18기	베트남 단어시험 1회차 공란.pdf	낱말이 적음	0		안 씀
18기	베트남 단어시험 1회차.pdf	시험지·한글뜻	30	sân	일일 1
18기	베트남 단어시험 23회차.pdf	시험지·낱말만	36	quả nhiên	일일 23
18기	베트남 단어시험 26회차.xlsx	시험지·한글뜻	20	đi thẳng	일일 26
18기	베트남 단어시험 33회차.pdf	시험지·낱말만	39	mưa gió	일일 33
18기	베트남 단어시험 33회차.xlsx	시험지·낱말만	32	mưa gió	일일 33
18기	베트남 단어시험 36회차 (답안).pdf	시험지·낱말만	30	(lựa) chọn	일일 36
18기	베트남 단어시험 36회차 (시험지).pdf	낱말이 적음	0		안 씀
18기	베트남 단어시험 36회차.xlsx	시험지·한글뜻	20	(lựa) chọn	일일 36
18기	베트남 단어시험 3회차.pdf	시험지·영어뜻	42	khoẻ	일일 3
18기	베트남 단어시험 44회.pdf	시험지·한글뜻	30	ngủ	일일 44
18기	베트남 단어시험 44회차 공란.pdf	빈 시험지·낱말만	29	ngủ	일일 0
18기	베트남 단어시험 4회차 -공란-.pdf	베트남어 아님	7		일일 0
18기	베트남 단어시험 4회차.pdf	시험지·낱말만	37	ngưởi	일일 4
18기	베트남 단어시험 5회차 -공란-.pdf	베트남어 아님	7		일일 0
18기	베트남18기단어복습테스트_250315-1.xlsx	모음집(회차 없음)·한글뜻	20	nhóm đón chào lịch	주간 315
18기	베트남18기단어복습테스트_250315.pdf	모음집(회차 없음)·한글뜻	21	ngõ Chủ nhà ngủ th	주간 315
18기	베트남18기단어복습테스트_250315.xlsx	모음집(회차 없음)·한글뜻	20	ngõ Chủ nhà ngủ sa	주간 315
18기	베트남18기단어복습테스트_250329.xlsx	모음집(회차 없음)·한글뜻	20	người mẫu một số c	주간 329
18기	베트남_15차 단어시험.pdf	시험지·낱말만	32	Tièn mặt	일일 15
18기	베트남_16차 단어시험.pdf	시험지·영어뜻	41	biết	일일 16
18기	베트남_25회차 단어시험_25.02.06.xlsx	시험지·한글뜻	30	về hưu / nghỉ hưu	일일 25
18기	베트남_26차 단어시험.pdf	시험지·한글뜻	30	đi thẳng	일일 26
18기	베트남반 단어시험 2025-01-07(공란).pdf	낱말이 적음	0		안 씀
18기	베트남반 단어시험 2025-01-07(정답).pdf	모음집(회차 없음)·한글뜻	28	tay	일일 2025
18기	베트남어 토요단어시험 4월26일 답안지.pdf	모음집(회차 없음)·한글뜻	20	tất nhiên rồi Ý ch	주간 0
18기	베트남어 토요단어시험 4월26일 문제지.pdf	모음집(회차 없음)·영어뜻	21	tất nhiên rồi Ý ch	일일 0
18기	정답_베트남_55회 단어시험_04.01.pdf	시험지·한글뜻	31	Họng	일일 55
18기	토요단어시험 5월31 정답.pdf	모음집(회차 없음)·한글뜻	21	phù hợp hành chính	주간 0
18기	토요단어시험 문제지.pdf	모음집(회차 없음)·영어뜻	23	phù hợp hành chính	일일 0
18기	토요단어시험 함수양식.xlsx	모음집(회차 없음)·한글뜻	201	tất nhiên rồi Ý ch	주간 0
18기	토요단어시험_0405.pdf	모음집(회차 없음)·한글뜻	20	người già Họng hệ 	주간 0
18기	토요단어시험_0524.pdf	모음집(회차 없음)·한글뜻	40	công thương mại rằ	주간 0
19기 베트남어 단어 자료	19기 단어시험 100회차 베트남.xlsx	시험지·한글뜻	30	Tính toán	일일 100
19기 베트남어 단어 자료	19기 단어시험 101회차 베트남.xlsx	시험지·한글뜻	30	Đi làm	일일 101
19기 베트남어 단어 자료	19기 단어시험 102회차 베트남.xlsx	시험지·한글뜻	30	Phòng họp	일일 102
19기 베트남어 단어 자료	19기 단어시험 103회차 베트남.xlsx	시험지·한글뜻	37	hair	일일 103
19기 베트남어 단어 자료	19기 단어시험 104회차 베트남.xlsx	시험지·한글뜻	30	Đơn giản	일일 104
19기 베트남어 단어 자료	19기 단어시험 108회차.xlsx	시험지·한글뜻	60	to advertise	일일 108
19기 베트남어 단어 자료	19기 단어시험 109회차.xlsx	시험지·한글뜻	30	thể hiện	일일 109
19기 베트남어 단어 자료	19기 단어시험 10회차－베트남.xlsx	시험지·한글뜻	20	nhạt	일일 10
19기 베트남어 단어 자료	19기 단어시험 110회차.xlsx	시험지·한글뜻	30	giáo dục	일일 110
19기 베트남어 단어 자료	19기 단어시험 11회차.xlsx	시험지·영어뜻	40	to eat	일일 11
19기 베트남어 단어 자료	19기 단어시험 12회차.xlsx	시험지·영어뜻	40	to paint	일일 12
19기 베트남어 단어 자료	19기 단어시험 13회차 (1)-2.xlsx	시험지·한글뜻	20	năm	일일 13
19기 베트남어 단어 자료	19기 단어시험 14회차.xlsx	시험지·한글뜻	20	từ ~  đến ~	일일 14
19기 베트남어 단어 자료	19기 단어시험 15회차.xlsx	시험지·한글뜻	20	biết	일일 15
19기 베트남어 단어 자료	19기 단어시험 16회차(최종).xlsx	시험지·영어뜻	40	volley ball	일일 16
19기 베트남어 단어 자료	19기 단어시험 17회차-베트남 (1) (1).xlsx	시험지·낱말만	40	[classifier]musica	일일 17
19기 베트남어 단어 자료	19기 단어시험 18회차 (1).xlsx	시험지·영어뜻	40	To go	일일 18
19기 베트남어 단어 자료	19기 단어시험 19회차-베트남-1.xlsx	시험지·영어뜻	20	Ốm	일일 19
19기 베트남어 단어 자료	19기 단어시험 1회차-베트남.xlsx	시험지·한글뜻	20	khỏe	일일 1
19기 베트남어 단어 자료	19기 단어시험 20회차.xlsx	시험지·낱말만	40	(stronger negative	일일 20
19기 베트남어 단어 자료	19기 단어시험 21회차-베트남.xlsx	시험지·낱말만	49	relatives	일일 21
19기 베트남어 단어 자료	19기 단어시험 22회차-베트남.xlsx	시험지·영어뜻	40	ngã ba	일일 22
19기 베트남어 단어 자료	19기 단어시험 26회차.xlsx	시험지·낱말만	40	to return	일일 26
19기 베트남어 단어 자료	19기 단어시험 28회차.xlsx	시험지·영어뜻	40	midnight	일일 28
19기 베트남어 단어 자료	19기 단어시험 29회차 (1).xlsx	시험지·영어뜻	40	sunny	일일 29
19기 베트남어 단어 자료	19기 단어시험 2회차-베트남.xlsx	시험지·한글뜻	20	cảnh sát	일일 2
19기 베트남어 단어 자료	19기 단어시험 31회차－1.xlsx	시험지·낱말만	39	sit	일일 31
19기 베트남어 단어 자료	19기 단어시험 32회차-1.xlsx	시험지·낱말만	49	East	일일 32
19기 베트남어 단어 자료	19기 단어시험 33회차-베트남.xlsx	시험지·영어뜻	40	society	일일 33
19기 베트남어 단어 자료	19기 단어시험 34회차-베트남(2).xlsx	시험지·영어뜻	40	procedure	일일 34
19기 베트남어 단어 자료	19기 단어시험 35회차－베트남.xlsx	시험지·낱말만	40	purpose	일일 35
19기 베트남어 단어 자료	19기 단어시험 36회차-베트남.xlsx	시험지·한글뜻	26	elevator	일일 36
19기 베트남어 단어 자료	19기 단어시험 37회차-베트남.xlsx	시험지·낱말만	31	bowl	일일 37
19기 베트남어 단어 자료	19기 단어시험 39회차－베트남.xlsx	시험지·한글뜻	20	chỗ trống	일일 39
19기 베트남어 단어 자료	19기 단어시험 3회차-베트남.xlsx	시험지·한글뜻	20	bảng	일일 3
19기 베트남어 단어 자료	19기 단어시험 40회차.xlsx	시험지·한글뜻	40	sửa / chữa	일일 40
19기 베트남어 단어 자료	19기 단어시험 41회차.xlsx	시험지·한글뜻	20	mặt hàng	일일 41
19기 베트남어 단어 자료	19기 단어시험 42회차-4.xlsx	시험지·한글뜻	20	lượng	일일 42
19기 베트남어 단어 자료	19기 단어시험 43회차.xlsx	시험지·한글뜻	22	Chúng ta luôn cố l	일일 43
19기 베트남어 단어 자료	19기 단어시험 44회차.xlsx	시험지·한글뜻	20	chẵn	일일 44
19기 베트남어 단어 자료	19기 단어시험 46회차.xlsx	시험지·한글뜻	22	Chúc mọi người một	일일 46
19기 베트남어 단어 자료	19기 단어시험 47회차.xlsx	시험지·한글뜻	40	phó từ	일일 47
19기 베트남어 단어 자료	19기 단어시험 49회차-베트남.xlsx	시험지·한글뜻	20	cơ hội	일일 49
19기 베트남어 단어 자료	19기 단어시험 4회차-베트남.pdf	시험지·한글뜻	31	cơm	일일 4
19기 베트남어 단어 자료	19기 단어시험 50회차－베트남.xlsx	시험지·한글뜻	20	dịu dàng	일일 50
19기 베트남어 단어 자료	19기 단어시험 51회차-베트남.xlsx	시험지·낱말만	27	hair	일일 51
19기 베트남어 단어 자료	19기 단어시험 55회차.xlsx	시험지·한글뜻	30	ngặt mũi	일일 55
19기 베트남어 단어 자료	19기 단어시험 56회차 베트남.xlsx	시험지·한글뜻	30	bảo hiểm y tế	일일 56
19기 베트남어 단어 자료	19기 단어시험 57회차 베트남.xlsx	시험지·한글뜻	30	thăm hỏi	일일 57
19기 베트남어 단어 자료	19기 단어시험 59회차 베트남.xlsx	시험지·한글뜻	33	facilites	일일 59
19기 베트남어 단어 자료	19기 단어시험 5회차-베트남(수정,확인완료).xlsx	시험지·한글뜻	20	Hàn Quốc	일일 5
19기 베트남어 단어 자료	19기 단어시험 60회차 베트남.xlsx	시험지·한글뜻	30	thời trang	일일 60
19기 베트남어 단어 자료	19기 단어시험 61회차 베트남.xlsx	시험지·한글뜻	30	sính hàng ngoại	일일 61
19기 베트남어 단어 자료	19기 단어시험 62회차 베트남.xlsx	시험지·한글뜻	31	hành trình	일일 62
19기 베트남어 단어 자료	19기 단어시험 63회차 베트남-1.xlsx	시험지·한글뜻	31	không khí	일일 63
19기 베트남어 단어 자료	19기 단어시험 64회차 베트남.xlsx	시험지·한글뜻	31	kiệt sức	일일 64
19기 베트남어 단어 자료	19기 단어시험 65회차 베트남-3.xlsx	시험지·한글뜻	31	Khiêu vũ	일일 65
19기 베트남어 단어 자료	19기 단어시험 66회차 베트남.xlsx	시험지·한글뜻	31	rủ	일일 66
19기 베트남어 단어 자료	19기 단어시험 67회차 베트남.xlsx	시험지·한글뜻	31	thủ đô	일일 67
19기 베트남어 단어 자료	19기 단어시험 68회차 베트남.xlsx	시험지·한글뜻	31	Đã ... lại …	일일 68
19기 베트남어 단어 자료	19기 단어시험 69회차.xlsx	시험지·한글뜻	30	thượng đế	일일 69
19기 베트남어 단어 자료	19기 단어시험 6회차-베트남.xlsx	시험지·한글뜻	20	quả nho	일일 6
19기 베트남어 단어 자료	19기 단어시험 70회차 베트남-1.xlsx	시험지·한글뜻	30	chợ đầu mối	일일 70
19기 베트남어 단어 자료	19기 단어시험 71회차 베트남.xlsx	시험지·한글뜻	30	trung ương	일일 71
19기 베트남어 단어 자료	19기 단어시험 73회차 베트남.xlsx	시험지·한글뜻	30	tàm tạm	일일 73
19기 베트남어 단어 자료	19기 단어시험 74회차 베트남.xlsx	시험지·한글뜻	30	vai trò	일일 74
19기 베트남어 단어 자료	19기 단어시험 75회차 베트남.xlsx	시험지·한글뜻	31	thức khuya	일일 75
19기 베트남어 단어 자료	19기 단어시험 76회차 베트남.xlsx	시험지·한글뜻	31	cá nhân hóa	일일 76
19기 베트남어 단어 자료	19기 단어시험 78회차_베트남어.xlsx	시험지·한글뜻	30	bản sắc	일일 78
19기 베트남어 단어 자료	19기 단어시험 79회차 베트남.xlsx	시험지·한글뜻	31	thủ đô	일일 79
19기 베트남어 단어 자료	19기 단어시험 7회차-베트남.xlsx	시험지·한글뜻	20	đắt	일일 7
19기 베트남어 단어 자료	19기 단어시험 80회차 베트남 수정본.xlsx	시험지·한글뜻	30	điện tử	일일 80
19기 베트남어 단어 자료	19기 단어시험 81회차 베트남 - 수정본.xlsx	시험지·한글뜻	30	thương mại	일일 81
19기 베트남어 단어 자료	19기 단어시험 82회차 베트남.xlsx	시험지·한글뜻	30	khai giảng	일일 82
19기 베트남어 단어 자료	19기 단어시험 84회차 베트남.xlsx	시험지·한글뜻	30	đơn giản	일일 84
19기 베트남어 단어 자료	19기 단어시험 85회차 베트남.xlsx	시험지·한글뜻	31	tránh	일일 85
19기 베트남어 단어 자료	19기 단어시험 86회차 베트남.xlsx	시험지·한글뜻	31	Hiền lành	일일 86
19기 베트남어 단어 자료	19기 단어시험 87회차_베트남어.xlsx	시험지·한글뜻	30	chế độ	일일 87
19기 베트남어 단어 자료	19기 단어시험 88회차 베트남-1.xlsx	시험지·한글뜻	30	bãi biển	일일 88
19기 베트남어 단어 자료	19기 단어시험 89회차 베트남.xlsx	시험지·한글뜻	30	thảo luận	일일 89
19기 베트남어 단어 자료	19기 단어시험 8회차-베트남.xlsx	시험지·한글뜻	20	già	일일 8
19기 베트남어 단어 자료	19기 단어시험 90회차 베트남.xlsx	시험지·한글뜻	30	Đơn giản	일일 90
19기 베트남어 단어 자료	19기 단어시험 92회차_베트남.xlsx	시험지·한글뜻	30	quảng cáo	일일 92
19기 베트남어 단어 자료	19기 단어시험 93회차 베트남.xlsx	시험지·한글뜻	31	bên đối tác	일일 93
19기 베트남어 단어 자료	19기 단어시험 94회차_베트남.xlsx	시험지·한글뜻	63	to advertise	일일 94
19기 베트남어 단어 자료	19기 단어시험 95회차_베트남.xlsx	시험지·한글뜻	60	to advertise	일일 95
19기 베트남어 단어 자료	19기 단어시험 96회차_베트남.xlsx	시험지·한글뜻	60	to advertise	일일 96
19기 베트남어 단어 자료	19기 단어시험 97회차 베트남.xlsx	시험지·한글뜻	30	Bảng cân đối kế to	일일 97
19기 베트남어 단어 자료	19기 단어시험 98회차 베트남.xlsx	시험지·한글뜻	30	Tiền	일일 98
19기 베트남어 단어 자료	19기 단어시험 99회차 베트남.xlsx	시험지·한글뜻	30	Tài sản	일일 99
